Secao,Titulo,Descrição,Data
carreira,"As 25 melhores empresas para crescer na carreira, segundo o LinkedIn",A lista é um recurso para identificar empresas que investem nos funcionários ou para ampliar a pesquisa por vagas e novas conexões,17/04/24 - 9:28min
carreira,Quais profissionais a Petrobras busca para seus próximos concursos? Veja carreiras em alta,"A Petrobras está de olho em profissionais de diferentes perfis para a nova fase da empresa, de olho na transição energética para uma matriz mais renovável. O perfil, além de precisar trabalhar com dados...",16/04/24 - 6:56min
carreira,‘Enem dos concursos’: saiba o que o candidato pode e não pode levar,"A 20 dias da realização do Concurso Público Nacional Unificado (CPNU), o Ministério da Gestão e da Inovação em Serviços Públicos divulgou nesta segunda-feira (15) orientações sobre o que os candidatos podem e não...",15/04/24 - 12:28min
carreira,Estagiários recebem em média R$ 1.601 de bolsa-auxílio; veja áreas que pagam mais,"Segundo levantamento Guia de Bolsa-auxílio 2024, realizado pela Companhia de Estágios, estudantes de cursos de graduação que fazem estágio no Brasil recebem valores de bolsa entre R$ 959,16 e R$ 4.000,00, sendo que valor...",12/04/24 - 6:55min
carreira,"Cerca 1,2 milhão se inscreveram para concurso da Caixa para 4 mil vagas","Cerca de 1,2 milhão de pessoas se inscrevem para o concurso da Caixa Econômica Federal, que acontecerá em 26 de maio. A concorrência é de cerca de 300 pessoas para cada uma das 4.050...",10/04/24 - 12:10min
carreira,Feira de empresas chinesas oferece mais de 300 vagas no Brasil; veja oportunidades,O evento ocorre neste fim de semana em São Paulo,09/04/24 - 10:43min
carreira,"BNDES anuncia concurso com 150 vagas e salário inicial de R$ 20,9 mil",O cargo de analista exige formação em nível superior,09/04/24 - 9:44min
carreira,"Brasil tem 2,81 médicos por mil habitantes; Sudeste concentra 51% dos profissionais","O Brasil registra, atualmente, 575.930 médicos ativos – uma proporção de 2,81 profissionais por mil habitantes, a maior já registrada no país. Os dados fazem parte da Demografia Médica CFM – Dados oficiais sobre...",08/04/24 - 7:28min
carreira,Um mês para o Enem dos Concursos: veja horários e estrutura das provas,"Exatamente daqui um mês, no dia 5 de maio, os candidatos inscritos no CPNU (Concurso Público Nacional Unificado), ou mais conhecido como “Enem dos Concursos“, disputarão 6.640 vagas oferecidas. O cronograma foi divulgado nesta...",05/04/24 - 9:40min
carreira,Quer trabalhar no país mais feliz do mundo? Finlândia oferece mais de 700 vagas,"Que tal trabalhar no país mais feliz do mundo? Trata-se da Finlândia, que conquistou o título pelo sétimo ano consecutivo de acordo com o relatório de felicidade realizado em parceria com a ONU –...",05/04/24 - 9:08min
carreira,Bayer abre mais de 100 vagas de estágio com bolsa-auxílio de até R$ 2.800,"Estão abertas as inscrições para o programa de estágio da Bayer, com mais de 100 vagas em suas três áreas de negócio: agrícola, farmacêutica e bens de consumo, além de funções corporativas. As oportunidades...",02/04/24 - 16:26min
carreira,As mentiras que os candidatos colocam no currículo. Veja as 5 mais comuns,"O 1º de abril é conhecido popularmente como o Dia da Mentira, uma data que é sinônimo de brincadeiras e pegadinhas. Embora seja uma celebração inofensiva, no contexto corporativo é fundamental deixar as “mentirinhas”...",01/04/24 - 7:00min
carreira,Como é o trabalho na produtora que adotou semana de quatro dias com folga nas quartas,"O projeto global 4 day week chegou ao Brasil em setembro de 2023 e visa ampliar o debate da semana mais curta de trabalho, de quatro dias úteis. Foram 22 empresas que aceitaram participar...",30/03/24 - 15:00min
carreira,Jovens gravam a própria demissão e hashtag #layoffs vira moda no TikTok,"Você publicaria um vídeo da sua própria demissão nas redes sociais? Uma americana gravou o momento em que foi demitida, e o vídeo viralizou no TikTok. No entanto, especialistas alertam que a publicação de...",26/03/24 - 16:30min
carreira,Concurso abre 67 vagas de guarda portuário no Porto de Santos,"O governo federal publicou no Diário Oficial da União desta segunda-feira, 25, o edital para o concurso que busca preencher 67 vagas de guarda portuário no Porto de Santos.  São 49 oportunidades de ampla...",25/03/24 - 14:41min
carreira,Inscrição para concurso da Caixa com 4 mil vagas e salário de até R$ 14.915 termina hoje,"Nesta segunda-feira, 25, termina o prazo das inscrições para o concurso da Caixa. Ao todo são 4 mil vagas para trabalhar na estatal. Os interessados podem se inscrever pelo site oficial da Fundação Cesgranrio....",25/03/24 - 8:43min
carreira,Congresso regulamenta profissão de musicoterapeuta no país e texto vai à sanção de Lula,"O Senado Federal aprovou o projeto de lei que regulamenta o exercício da musicoterapia no Brasil. Para o profissional da área ser reconhecido, é preciso ter graduação, pós-graduação ou cinco anos de experiência comprovados....",20/03/24 - 16:05min
carreira,Concurso da Caixa registra mais de 1 milhão de candidatos; veja como se inscrever,"O concurso lançado pela Caixa no dia 21 de fevereiro segue com as inscrições abertas e já registrou mais de 1 milhão de candidatos, de acordo com o banco. São, ao todo, 4 mil...",18/03/24 - 10:51min
carreira,Meninas podem concorrer a capacitação oferecida pela embaixada dos EUA,"Estão abertas as inscrições para o programa Power4Girls – Empower to Lead!, ou apenas P4G, voltado para estudantes de 15 a 18 anos, do ensino médio, matriculadas em escolas técnicas/tecnológicas federais ou estaduais, ou...",16/03/24 - 9:45min
carreira,Veja mais de 160 vagas abertas em startups e empresas de tecnologia,"Diversas companhias estão com centenas de vagas abertas nas áreas de tecnologia e inovação.  As oportunidades variam desde desenvolvimento de software e análise de dados até marketing digital e gestão de projetos, abrindo um...",15/03/24 - 9:08min
carreira,"Raia Drogasil abre 420 vagas de trabalho em MT, Rio e São Paulo; veja como se inscrever","O grupo farmacêutico Raia Drogasil, está com 420 vagas de trabalho disponíveis para os estados de Mato Grosso, Rio de Janeiro e São Paulo. Para se candidatar, não é necessário ter experiência prévia para...",14/03/24 - 14:56min
carreira,Como vai funcionar o programa do CIEE com 5 mil vagas de jovem aprendiz,A iniciativa vai durar 24 meses e promete deixar os aprendizes mais capacitados para as empresas,11/03/24 - 7:02min
carreira,"Trabalho híbrido com dois dias no escritório é o mais adotado no país, diz pesquisa","Relatório da consultoria JLL mostra que as empresas brasileiras adotam mais o modelo híbrido de trabalho do que as do resto do mundo. Segundo a pesquisa, 86% das empresas pesquisadas no país utilizam o...",09/03/24 - 15:00min
carreira,"Mulheres estudam mais, ganham menos e são minoria em cargos de gestão, aponta pesquisa",Uma pesquisa realizada pelo site de empregos Vagas.com aponta que ainda há muito o que avançar no ambiente corporativo para que as mulheres tenham condições mais igualitárias e melhores oportunidades.  O levantamento analisou dados...,08/03/24 - 7:00min
carreira,Quer trabalhar no Canadá? Empresas do Quebec oferecem mais de 200 vagas a brasileiros,Os empregos são destinados a diversos setores,07/03/24 - 11:11min
carreira,CIEE lança programa com foco em tecnologia que projeta 5 mil vagas de jovem aprendiz,"O Centro de Integração Empresa-Escola – CIEE, ONG de inclusão social e empregabilidade jovem, lançou nesta quarta-feira, 6, um programa com foco em tecnologia, que promete abrir 5 mil vagas de jovem aprendiz até...",06/03/24 - 9:17min
carreira,Parceria entre Instituto J&F e PicPay prevê 300 jovens contratados até o fim do ano,O PicPay começou a efetivar jovens da parceria com o Instituto J&F. O grupo de 32 recém-formados contratados faz parte da primeira turma de alunos do instituto que estagiaram na empresa. Até o fim...,05/03/24 - 20:29min
carreira,"Diferença salarial entre homens e mulheres diminui, mas elas chegam a menos cargos de liderança","O índice que mede a paridade salarial entre mulheres e homens passou de 72 em 2013 para 78,7, em 2023, segundo dados do levantamento Mulheres no Mercado de Trabalho, realizado pela Confederação Nacional da...",05/03/24 - 10:37min
carreira,Quiet quitting e Lazy Girl Job: entenda o vocabulário da geração Z no mercado de trabalho,O comportamento da chamada geração Z no mercado de trabalho tem sido motivo de muitos debates sobre uma suposta falta de compromisso dessa população mais jovem contra quem acredita ser natural uma relação diferente...,03/03/24 - 9:00min
carreira,Concurso da Caixa com mais de 4 mil vagas abre inscrições hoje (29),"A Caixa Econômica Federal (CEF) abre hoje, quinta-feira (29), as inscrições para o seu concurso, que conta com mais de 4 mil vagas em todo o Brasil. Os salários oferecidos vão de R$ 3.762...",29/02/24 - 0:57min
carreira,Mad Skills: entenda tendência que considera os hobbies de um profissional na hora da contratação,"Recrutadores e empresas ao redor do mundo passaram a avaliar hobbies no momento de avaliar candidatos a vagas de trabalho. Praticar esportes, tirar fotos, saber tocar um instrumento musical, artesanato, jardinagem e a dança...",24/02/24 - 15:00min
