Secao,Titulo,Descrição,Data
economia,"EUA enviarão tropas ao Djibuti para eventual desocupação de embaixada no Sudão, diz autoridade","WASHINGTON (Reuters) – Os Estados Unidos estão se preparando para enviar um grande número de tropas adicionais para sua base em Djibuti no caso de uma eventual retirada de cidadãos norte-americanos do Sudão, disse uma autoridade norte-americana nesta quinta-feira, quando novos conflitos armados irromperam. O funcionário, falando sob condição de anonimato, se recusou a dar […]",20/04/2023 17:40
economia,"Colheita de soja 22/23 atinge 54% da área no RS, diz Emater; alerta para novos cortes","SÃO PAULO (Reuters) – A colheita de soja 2022/23 alcançou 54% das áreas cultivadas no Rio Grande do Sul, avanço semanal de 22 pontos percentuais, informou nesta quinta-feira a Emater-RS, sinalizando que ainda pode reduzir neste mês sua projeção sobre os rendimentos das lavouras, que foram afetadas anteriormente por uma seca. Em março, a empresa […]",20/04/2023 17:39
economia,Shein anuncia que vai fabricar roupas no Brasil e prevê investir R$ 750 mi no País,"A varejista de moda chinesa Shein anunciou nesta quinta-feira, 20, que vai começar a fabricar suas roupas no Brasil, em um investimento que pode gerar 100 mil empregos em três anos. Inicialmente, deve gastar R$ 750 milhões para fornecer tecnologias e treinamento a fabricantes têxteis brasileiros. O anúncio acontece em meio a pressão de concorrentes […]",20/04/2023 17:21
economia,DeSantis assina projeto de lei para facilitar aplicação de pena de morte na Flórida,"Por Tyler Clifford (Reuters) – O governador da Flórida, Ron DeSantis, assinou um projeto de lei nesta quinta-feira encerrando uma exigência de que os júris precisam votar por unanimidade para recomendar a pena de morte antes que um juiz em um julgamento de crime capital possa sentenciar um réu à morte. O governador republicano, que […]",20/04/2023 15:57
economia,"Fed está mais perto que do que longe, diz dirigente, sobre fim do ciclo de aperto monetário","A presidente do Federal Reserve (Fed, o banco central norte-americano) de Cleveland, Loretta Mester, disse que o banco central está mais perto do que longe de chegar ao fim do ciclo de aperto monetário. “O Fed percorreu um longo caminho no aperto à política monetária”, declarou, em coletiva de imprensa nesta quinta. Loretta Mester disse […]",20/04/2023 15:44
economia,Opas inicia negociações com farmacêutica Takeda sobre preços de vacinas contra a dengue,"(Reuters) – A Organização Pan-Americana da Saúde (Opas) está em negociações preliminares com a farmacêutica japonesa Takeda sobre possíveis encomendas de sua vacina contra a dengue, disse o diretor da organização nesta quinta-feira, embora a instituição ainda não tenha decidido se recomendará o imunizante. “Os dados são realmente muito impressionantes”, disse o diretor da Opas, Jarbas […]",20/04/2023 15:41
economia,Rabobank reduz safra de café do Brasil após corte na previsão para arábica,"Por Roberto Samora SÃO PAULO (Reuters) – A safra de café do Brasil na temporada 2023/24 foi estimada em 66 milhões de sacas de 60 kg, com um corte de 1,1 milhão de sacas ante a previsão anterior, após expectativa de menores produtividades em áreas de arábica de Minas Gerais, afirmou o Rabobank nesta quinta-feira. […]",20/04/2023 15:35
economia,"IGC eleva projeção da safra global 2022/23 de grãos, para 2,252 bilhões de toneladas","O Conselho Internacional de Grãos (IGC, na sigla em inglês) aumentou sua previsão de produção global de grãos na temporada 2022/23, para 2,252 bilhões de toneladas, ante 2,250 bilhões de toneladas da previsão divulgada em março, principalmente por causa da expectativa de aumento da produção de trigo, justificou o IGC. No entanto, caso confirmado, o […]",20/04/2023 15:18
economia,"Banco Inter pede que funcionários evitem cabelo sem corte, chulé, bolsa velha e roupa amassada","Telefone celular com capinha velha, acessórios sujos ou estragados, chulé e cabelo desarrumado. Esses são alguns dos itens listados pelo Banco Inter em cartilha compartilhada com funcionários que traz “dicas” de estilo e comportamento sugeridas durante o expediente. O documento, intitulado de “os inimigos da imagem”, reúne 14 normas para serem evitadas “a todo custo”. […]",20/04/2023 15:13
economia,BC pede projeções mensais de núcleos e de fiscal de longo prazo em pesquisa pré-Copom,"O Banco Central (BC) pediu projeções mensais de núcleos de inflação e estimativas fiscais de longo prazo na pesquisa pré-Copom de maio. O encontro será nos dias 2 e 3 do mês que vem. Na quarta-feira, 19, o presidente do BC, Roberto Campos Neto, afirmou que a inflação brasileira tem diminuído, mas que os núcleos, […]",20/04/2023 14:40
